purchase_need_id,request_date,requester_user_id,department_id,vendor_id,project_id,item_description,amount_total,needed_by,scenario_id
NEED-001,2026-06-25,USER-REQ-001,DEPT-SALES,VENDOR-014,PRJ-2026-Q2-017,Quarter-end analytics service package,1750000,2026-06-30,S-002
NEED-002,2026-05-02,USER-REQ-002,DEPT-OPS,VENDOR-005,PRJ-2026-Q2-002,Routine purchase package 002,2091000,2026-05-18,S-002
NEED-003,2026-05-05,USER-REQ-003,DEPT-IT,VENDOR-006,PRJ-2026-Q2-003,Routine purchase package 003,2164000,2026-05-22,S-002
NEED-004,2026-05-08,USER-REQ-004,DEPT-FIN,VENDOR-007,PRJ-2026-Q2-004,Routine purchase package 004,2237000,2026-05-26,S-002
NEED-005,2026-05-11,USER-REQ-005,DEPT-HR,VENDOR-008,PRJ-2026-Q2-005,Routine purchase package 005,2310000,2026-05-30,S-002
NEED-006,2026-05-14,USER-REQ-001,DEPT-SALES,VENDOR-009,PRJ-2026-Q2-006,Routine purchase package 006,133000,2026-06-03,S-002
NEED-007,2026-05-17,USER-REQ-002,DEPT-OPS,VENDOR-010,PRJ-2026-Q2-007,Routine purchase package 007,206000,2026-05-31,S-002
NEED-008,2026-05-20,USER-REQ-003,DEPT-IT,VENDOR-011,PRJ-2026-Q2-008,Routine purchase package 008,279000,2026-06-04,S-002
NEED-009,2026-05-23,USER-REQ-004,DEPT-FIN,VENDOR-012,PRJ-2026-Q2-009,Routine purchase package 009,352000,2026-06-08,S-002
NEED-010,2026-05-26,USER-REQ-005,DEPT-HR,VENDOR-013,PRJ-2026-Q2-010,Routine purchase package 010,425000,2026-06-12,S-002
NEED-011,2026-05-29,USER-REQ-001,DEPT-SALES,VENDOR-014,PRJ-2026-Q2-011,Routine purchase package 011,498000,2026-06-16,S-002
NEED-012,2026-06-01,USER-REQ-002,DEPT-OPS,VENDOR-015,PRJ-2026-Q2-012,Routine purchase package 012,571000,2026-06-20,S-002
